prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2014,CY,101937,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2015,CY,544814,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2015,CY,15307,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2015,CY,145643,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～香焼,長崎 - 香焼,mixed,2015,CY,1164678,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2015,CY,103233,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2016,CY,518857,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2016,CY,14369,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2016,CY,144431,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～香焼,長崎 - 香焼,mixed,2016,CY,1220460,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2016,CY,103697,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2017,CY,508587,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2017,CY,14598,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2017,CY,131669,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～香焼,長崎 - 香焼,mixed,2017,CY,606584,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2017,CY,109520,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2021,CY,284790,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2021,CY,5066,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2021,CY,87083,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2021,CY,33123,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2022,CY,356913,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2022,CY,6547,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2022,CY,89685,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2022,CY,36821,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2023,CY,434316,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2023,CY,7980,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2023,CY,93955,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2023,CY,55755,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2024,CY,426541,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2024,CY,8165,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2024,CY,92139,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2024,CY,73697,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2025,CY,445144,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2025,CY,7342,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2025,CY,91355,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2025,CY,96733,,,,長崎市 運輸通信統計「乗降船客数」(月次),https://www.city.nagasaki.lg.jp/uploaded/attachment/66737.xlsx,"sheets R3-R7, 12 months summed","Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2015,FY,734299,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2016,FY,712471,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2017,FY,736754,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2018,FY,744411,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2019,FY,736766,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2020,FY,546874,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
兵庫県,淡路ジェノバライン,明石～岩屋航路,明石 - 岩屋,passenger,2021,FY,611871,,,,アフターコロナを見据えた明石～岩屋航路の新たな活性化策を探る調査業務 報告書（令和5年3月 国土交通省神戸運輸監理部）,https://wwwtb.mlit.go.jp/kobe/content/000292201.pdf,p.30 図2-23,旅客総数 from 淡路ジェノバライン data; bicycles and motorbikes counted separately and not included.
